Team,Total Cap,Luxury Tax Bill
Atlanta Hawks,149133740,0
Boston Celtics,176795764,70198661
Brooklyn Nets,166975123,14497295
Charlotte Hornets,146049640,0
Chicago Bulls,153093665,0
Cleveland Cavaliers,154561446,0
Dallas Mavericks,180090371,56695271
Denver Nuggets,169601210,17302513
Detroit Pistons,127673493,0
Golden State Warriors,199320856,163709263
Houston Rockets,138296534,0
Indiana Pacers,123981439,0
LA Clippers,193025318,140302817
Los Angeles Lakers,180067292,35935220
Memphis Grizzlies,127756781,0
Miami Heat,152766041,0
Milwaukee Bucks,181849255,83866138
Minnesota Timberwolves,174906722,0
New Orleans Pelicans,154090191,0
New York Knicks,150263571,0
Oklahoma City Thunder,155437627,0
Orlando Magic,138311945,0
Philadelphia 76ers,164391836,0
Phoenix Suns,175806777,52746458
Portland Trail Blazers,151480955,0
Sacramento Kings,154815256,0
San Antonio Spurs,101549048,0
Toronto Raptors,149260166,0
Utah Jazz,147162541,0
Washington Wizards,183801576,0